Baseline,Cutoff_Date,Customers,Target_Rate,Macro_F1,Balanced_Accuracy,Recall_Class_0,Recall_Class_1,Precision_Class_1
Active_Last_90D,2011-03-31,2171,0.5384615384615384,0.5472434727659927,0.5783433133732535,0.27644710578842313,0.8802395209580839,0.5866590649942988
Active_Last_60D,2011-03-31,2171,0.5384615384615384,0.5859334451994485,0.591103507271172,0.4311377245508982,0.7510692899914457,0.606353591160221
Recency_LTE_60,2011-03-31,2171,0.5384615384615384,0.5859334451994485,0.591103507271172,0.4311377245508982,0.7510692899914457,0.606353591160221
Frequency_GTE_2,2011-03-31,2171,0.5384615384615384,0.6631110089370384,0.6725834046193327,0.781437125748503,0.5637296834901625,0.7505694760820045
Top_35pct_By_Recency,2011-03-31,2171,0.5384615384615384,0.5587277018223571,0.5762760193897919,0.7325349301397206,0.42001710863986313,0.6469038208168643
Active_Last_90D,2011-04-30,2172,0.5667587476979742,0.491900914229354,0.5418056909228564,0.17215727948990436,0.9114541023558083,0.590215675960021
Active_Last_60D,2011-04-30,2172,0.5667587476979742,0.5693885812066459,0.576024434313359,0.37300743889479276,0.7790414297319253,0.6191091026468689
Recency_LTE_60,2011-04-30,2172,0.5667587476979742,0.5693885812066459,0.576024434313359,0.37300743889479276,0.7790414297319253,0.6191091026468689
Frequency_GTE_2,2011-04-30,2172,0.5667587476979742,0.6604636828174173,0.6761154241603078,0.7917109458023379,0.5605199025182778,0.7787810383747178
Top_35pct_By_Recency,2011-04-30,2172,0.5667587476979742,0.5544565931306262,0.578998869964804,0.7396386822529224,0.41835905767668563,0.6776315789473685
Active_Last_90D,2011-05-31,2279,0.5348837209302325,0.4993733094940219,0.5554963084495488,0.19056603773584907,0.9204265791632485,0.5666666666666667
Active_Last_60D,2011-05-31,2279,0.5348837209302325,0.5985293289722919,0.6049425758818704,0.4330188679245283,0.7768662838392125,0.6117571059431525
Recency_LTE_60,2011-05-31,2279,0.5348837209302325,0.5985293289722919,0.6049425758818704,0.4330188679245283,0.7768662838392125,0.6117571059431525
Frequency_GTE_2,2011-05-31,2279,0.5348837209302325,0.6826849693366727,0.68714109926169,0.75,0.6242821985233798,0.7417153996101364
Top_35pct_By_Recency,2011-05-31,2279,0.5348837209302325,0.5730770671762018,0.5896841673502871,0.7462264150943396,0.4331419196062346,0.6624843161856964
Active_Last_90D,2011-06-30,2358,0.5534351145038168,0.5199103387666014,0.5603530143760029,0.22032288698955366,0.9003831417624522,0.5886773547094188
Active_Last_60D,2011-06-30,2358,0.5534351145038168,0.591746768028175,0.5964665815240529,0.41975308641975306,0.7731800766283525,0.6228395061728395
Recency_LTE_60,2011-06-30,2358,0.5534351145038168,0.591746768028175,0.5964665815240529,0.41975308641975306,0.7731800766283525,0.6228395061728395
Frequency_GTE_2,2011-06-30,2358,0.5534351145038168,0.6602915967243526,0.6672462913842224,0.7321937321937322,0.6022988505747127,0.7359550561797753
Top_35pct_By_Recency,2011-06-30,2358,0.5534351145038168,0.5573543348256593,0.5784327209614566,0.7369420702754036,0.4199233716475096,0.6642424242424242
Active_Last_90D,2011-07-31,2316,0.6066493955094991,0.527213596688247,0.5591278599638269,0.1986827661909989,0.9195729537366548,0.6389713155291791
Active_Last_60D,2011-07-31,2316,0.6066493955094991,0.5900431255132295,0.5894652546378584,0.42590559824368823,0.7530249110320285,0.6691967109424415
Recency_LTE_60,2011-07-31,2316,0.6066493955094991,0.5900431255132295,0.5894652546378584,0.42590559824368823,0.7530249110320285,0.6691967109424415
Frequency_GTE_2,2011-07-31,2316,0.6066493955094991,0.6348834920608142,0.650731080389545,0.7156970362239298,0.5857651245551602,0.7606284658040665
Top_35pct_By_Recency,2011-07-31,2316,0.6066493955094991,0.5583137127812681,0.5955510154653875,0.7661909989023051,0.42491103202846975,0.737037037037037
Active_Last_90D,2011-08-31,2327,0.6519123334765793,0.5415638526925024,0.552928538294392,0.23703703703703705,0.8688200395517469,0.6807851239669421
Active_Last_60D,2011-08-31,2327,0.6519123334765793,0.5862406361299943,0.5872738592250788,0.4777777777777778,0.6967699406723797,0.7141891891891892
Recency_LTE_60,2011-08-31,2327,0.6519123334765793,0.5862406361299943,0.5872738592250788,0.4777777777777778,0.6967699406723797,0.7141891891891892
Frequency_GTE_2,2011-08-31,2327,0.6519123334765793,0.6181829129691934,0.6432582989493558,0.7024691358024692,0.5840474620962426,0.7861579414374446
Top_35pct_By_Recency,2011-08-31,2327,0.6519123334765793,0.5320140877609668,0.5855444875770079,0.7617283950617284,0.40936058009228743,0.7628992628992629
Active_Last_90D,2011-09-10,2298,0.6662315056570931,0.533612444878484,0.5435387050925804,0.22816166883963493,0.8589157413455258,0.6895647614053487
Active_Last_60D,2011-09-10,2298,0.6662315056570931,0.5844231781568999,0.5847951548058934,0.45241199478487615,0.7171783148269105,0.7233201581027668
Recency_LTE_60,2011-09-10,2298,0.6662315056570931,0.5844231781568999,0.5847951548058934,0.45241199478487615,0.7171783148269105,0.7233201581027668
Frequency_GTE_2,2011-09-10,2298,0.6662315056570931,0.6037230909451651,0.6325679545797116,0.6923076923076923,0.5728282168517309,0.7879604672057502
Top_35pct_By_Recency,2011-09-10,2298,0.6662315056570931,0.5129285614843255,0.5707924961486941,0.7444589308996089,0.39712606139777923,0.7562189054726368
