Feature,Importance
Customer_Age_Ratio,0.1293453758992853
Purchase_Interval_Std,0.11952410066782664
Net_Monetary,0.11481953948766283
Frequency,0.10015477812111903
Gross_Monetary,0.0959455738038555
Gross_Quantity,0.08574873256471281
Purchase_Interval_Mean,0.07095450410277157
Spend_Last_90D,0.05404116130438293
Mean_Spend_Per_Invoice,0.03911453857631297
Unique_Products,0.038733122627428486
Freq_Last_90D,0.034750803396113944
Diversity_Score,0.032990453193185075
Avg_Basket_Size,0.028796875845506224
Cutoff_Month,0.028431832582002183
Recency_vs_Cadence,0.026648607827834375
