Model,Test_Cutoff,Train_Cutoffs,Train_Customers,Test_Customers,Target_Rate,Train_Selected_Threshold,Train_Macro_F1_At_Threshold,AUC,Macro_F1,Balanced_Accuracy,Recall_Class_0,Recall_Class_1,Precision_Class_1,Precision_Top_10pct,Lift_Top_10pct
Logistic Regression,2011-04-30,1,2171,2172,0.5667587476979742,0.4099999999999999,0.6829098418946871,0.7368735923119623,0.6741713799185064,0.6775329320226422,0.6865037194473964,0.6685621445978879,0.7361359570661896,0.9541284403669725,1.6834825121665837
Random Forest,2011-04-30,1,2171,2172,0.5667587476979742,0.5499999999999999,0.7550078780394327,0.7660080406018451,0.6983880148955184,0.7128014254500501,0.820403825717322,0.6051990251827782,0.8150984682713348,0.9724770642201835,1.7158571758620949
XGBoost,2011-04-30,1,2171,2172,0.5667587476979742,0.4599999999999999,0.7570214903654746,0.7626831127505782,0.6862260793854145,0.6856460494953689,0.6312433581296493,0.7400487408610885,0.7241653418124007,0.9541284403669725,1.6834825121665837
Logistic Regression,2011-05-31,2,4343,2279,0.5348837209302325,0.4099999999999999,0.6757059130120302,0.7437166251334995,0.6434016364218863,0.6471287940935193,0.48867924528301887,0.8055783429040196,0.6443569553805775,0.9254385964912281,1.7301678108314265
Random Forest,2011-05-31,2,4343,2279,0.5348837209302325,0.5299999999999999,0.7535407949302597,0.7718792081353414,0.7042206601843637,0.7084700574241181,0.7688679245283019,0.6480721903199343,0.7632850241545893,0.9342105263157895,1.746567505720824
XGBoost,2011-05-31,2,4343,2279,0.5348837209302325,0.49999999999999994,0.734440135442206,0.7684794217344869,0.7069555019527831,0.7067883511074651,0.680188679245283,0.7333880229696472,0.7250608272506083,0.9385964912280702,1.7547673531655228
Logistic Regression,2011-06-30,3,6622,2358,0.5534351145038168,0.4499999999999999,0.6795332440251796,0.7363839131399795,0.666241077786005,0.6737105806071324,0.7435897435897436,0.6038314176245211,0.7448015122873346,0.9279661016949152,1.676738749269433
Random Forest,2011-06-30,3,6622,2358,0.5534351145038168,0.4799999999999999,0.7478502420732749,0.7557047370585046,0.6803381882816918,0.6850869437076333,0.7264957264957265,0.6436781609195402,0.7446808510638298,0.9491525423728814,1.715020455873758
XGBoost,2011-06-30,3,6622,2358,0.5534351145038168,0.49999999999999994,0.7254936964804131,0.7492091561057077,0.677408670407023,0.6823132593247536,0.7255460588793922,0.639080459770115,0.742653606411398,0.9533898305084746,1.722676797194623
Logistic Regression,2011-07-31,4,8980,2316,0.6066493955094991,0.42999999999999994,0.6761866242316089,0.7212105113070382,0.6413430629531429,0.6560390794988886,0.7135016465422612,0.598576512455516,0.7631578947368421,0.9310344827586207,1.5347159160633206
Random Forest,2011-07-31,4,8980,2316,0.6066493955094991,0.49999999999999994,0.7372985256709352,0.747712224257884,0.6575884673307935,0.6748327089624244,0.747530186608123,0.602135231316726,0.7862453531598513,0.9525862068965517,1.5702417474536752
XGBoost,2011-07-31,4,8980,2316,0.6066493955094991,0.5199999999999999,0.7161517826222423,0.7440027188455844,0.6618061205331998,0.6762085385814345,0.7310647639956093,0.6213523131672598,0.7808586762075134,0.9612068965517241,1.584452080009817
Logistic Regression,2011-08-31,5,11296,2327,0.6519123334765793,0.42999999999999994,0.6700681799940291,0.7045057252374326,0.6276117124615714,0.6425075481986051,0.6469135802469136,0.6381015161502966,0.7719298245614035,0.9699570815450643,1.4878642905440769
Random Forest,2011-08-31,5,11296,2327,0.6519123334765793,0.4799999999999999,0.7325956525323365,0.7353699227682967,0.6432814428169575,0.6592218234494658,0.6691358024691358,0.6493078444297956,0.7861133280127693,0.9699570815450643,1.4878642905440769
XGBoost,2011-08-31,5,11296,2327,0.6519123334765793,0.5199999999999999,0.7128054967172558,0.7326948900119632,0.6546122070741973,0.6622166882329484,0.6197530864197531,0.7046802900461437,0.7763253449527959,0.9742489270386266,1.494447760856219
Logistic Regression,2011-09-10,6,13623,2298,0.6662315056570931,0.41999999999999993,0.6669191581316427,0.6939580695185207,0.5981739044135369,0.5953020454288043,0.39504563233376794,0.7955584585238407,0.7241379310344828,0.9739130434782609,1.4618237582710931
Random Forest,2011-09-10,6,13623,2298,0.6662315056570931,0.48999999999999994,0.7259636247047446,0.754808277774324,0.6632658668376226,0.6815606539172614,0.6870925684485006,0.6760287393860223,0.8117647058823529,0.9826086956521739,1.4748757561127992
XGBoost,2011-09-10,6,13623,2298,0.6662315056570931,0.5399999999999999,0.70399313612513,0.7340116514246638,0.6566464090252828,0.6591451591064119,0.5658409387222947,0.752449379490529,0.7757575757575758,0.9739130434782609,1.4618237582710931
